Directory,Data Cube Score,% Change
www.airbnb.com/explore/flagstaff--az/,<1,-99.99%
www.airbnb.com/explore/charleston--sc/,<1,-99.97%
www.airbnb.com/explore/new-york--ny/,<1,-99.97%
www.airbnb.com/explore/indianapolis--in/,<1,-99.95%
www.airbnb.com/explore/indianapolis--in/apartment/,<1,-99.95%
www.airbnb.com/explore/sedona--az/,<1,-99.90%
www.airbnb.com/explore/sedona--az/house/,<1,-99.90%
www.airbnb.com/explore/paris--france/apartment/,<1,-99.78%
www.airbnb.com/explore/san-diego--ca/,<1,-99.77%
www.airbnb.com/help/article/37/,<1,-99.71%
www.airbnb.com/explore/pismo-beach--ca/,<1,-99.66%
www.airbnb.com/explore/hawaii--united-states/,<1,-99.65%
www.airbnb.com/explore/orlando--fl/,<1,-99.64%
www.airbnb.com/explore/rehoboth-beach--de/,<1,-99.60%
www.airbnb.com/explore/vermont--wi/,<1,-99.60%
www.airbnb.com/explore/sanibel--fl/,<1,-99.58%
www.airbnb.com/explore/los-angeles--ca/,<1,-99.53%
www.airbnb.com/explore/california--united-states/,<1,-99.49%
www.airbnb.com/explore/california--united-states/apartment/,<1,-99.44%
www.airbnb.com/explore/beverly-hills--ca/house/,<1,-99.21%
www.airbnb.com/explore/tampa--fl/,<1,-99.21%
www.airbnb.com/explore/new-jersey--united-states/,<1,-99.08%
www.airbnb.com/explore/los-angeles--ca/house/,<1,-99.01%
www.airbnb.com/explore/pocono-summit--pa/,<1,-98.95%
www.airbnb.com/help/article/297/,<1,-98.68%
www.airbnb.com/explore/isle-of-palms--sc/,<1,-98.62%
www.airbnb.com/explore/isle-of-palms--sc/vacation-rentals/,<1,-98.62%
www.airbnb.com/explore/new-jersey--united-states/apartment/,<1,-98.62%
www.airbnb.com/explore/panama-city-beach--fl/,<1,-98.60%
www.airbnb.com/explore/washington--dc/,<1,-98.58%
www.airbnb.com/help/article/875/,2,-98.50%
www.airbnb.com/explore/key-largo--fl/,<1,-98.07%
www.airbnb.com/explore/san-francisco--ca/,<1,-98.06%
www.airbnb.com/explore/cape-coral--fl/,<1,-97.85%
nerds.airbnb.com/data/,<1,-97.74%
www.airbnb.com/help/article/908/,2,-97.59%
www.airbnb.com/explore/virginia-beach--va/,<1,-97.28%
www.airbnb.com/explore/port-aransas--tx/,<1,-97.26%
www.airbnb.com/explore/cocoa-beach--fl/,<1,-96.89%
www.airbnb.com/explore/destin--fl/,<1,-96.67%
www.airbnb.com/explore/venice--italy/,<1,-96.56%
